lead_id,contact_name,company_name,industry,company_size,lead_source,job_title,country,region,status,created_date
L10001,Alva Fredriksson,Quantumlogic Systems,Manufacturing,23.0,Webinar,IT Manager,Sweden,Europe,Unqualified,2010-01-01
L10002,Հովիկ Զուրաբյան,Crestify Technologies,SaaS,131.0,Website,Marketing Manager,Armenia,EMEA,Lost,2010-01-02
L10003,جلاء الزيتاوي,CobaltLogic Innovations,Education,125.0,Referral,IT Manager,Palestine,EMEA,Lost,2010-01-03
L10004,Brenda Alves,Lumensphere Partners,Logistics,302.0,Trade Show,VP Sales,Brazil,LATAM,Converted,2010-01-04
L10005,Alberto Hernán Guevara,Vertexlogic Partners,Retail,51.0,Referral,VP Sales,Mexico,LATAM,Lost,2010-01-04
L10006,অদিতি কুমার,Apexshift Industries,Logistics,172.0,Website,VP Sales,Bangladesh,APAC,Lost,2010-01-05
L10007,Albano Llopis Hierro,Northstarwave Labs,Retail,120.0,Webinar,IT Manager,Peru,LATAM,Converted,2010-01-06
L10008,Allison Hill,Orbitify Enterprises,Manufacturing,9.0,Trade Show,CEO,Philippines,APAC,Unqualified,2010-01-07
L10009,Aleksander Õunapuu,NorthstarSphere Ventures,Education,26.0,Website,CEO,Estonia,Europe,New,2010-01-08
L10010,Allison Hill,Quantumloop Enterprises,Education,131.0,Referral,VP Sales,Malaysia,APAC,New,2010-01-09
L10011,Dr. A. Szabó Melinda,Zenithcore Ventures,Healthcare,522.0,Trade Show,CEO,Hungary,Europe,Converted,2010-01-10
L10012,Mr. Andile Thobeni,Silverbeam Partners,Logistics,68.0,Webinar,VP Sales,South Africa,EMEA,Unqualified,2010-01-11
L10013,Aleksandr Weihmann,NorthstarSphere Solutions,Manufacturing,46.0,Referral,Operations Director,Germany,Europe,Contacted,2010-01-12
L10014,Allison Hill,Pioneergate Enterprises,Healthcare,102.0,Webinar,Marketing Manager,Singapore,APAC,Converted,2010-01-12
L10015,Alisa Kärki,Cobaltforge Industries,Education,43.0,Cold Call,Operations Director,Finland,Europe,Contacted,2010-01-13
L10016,Козлова Ирина Ефимовна,Vertexforge Ventures,SaaS,280.0,LinkedIn,VP Sales,Kazakhstan,APAC,Contacted,2010-01-13
L10017,Anastázie Vávrová,CrestShift Solutions,Healthcare,43.0,Website,Procurement Lead,Czech Republic,Europe,Lost,2010-01-14
L10018,Donato Godoy-Chaparro,Cobaltbeam Technologies,Education,831.0,Trade Show,IT Manager,Venezuela,LATAM,Contacted,2010-01-15
L10019,Fəxriyyə Baharlı,SilverWave Industries,Healthcare,241.0,Website,Marketing Manager,Azerbaijan,EMEA,Lost,2010-01-16
L10020,Danielle Taylor,QuantumForge Partners,Manufacturing,20.0,LinkedIn,Operations Director,United States,North America,Lost,2010-01-17
L10021,佐藤 淳,SummitShift Systems,Manufacturing,18.0,Website,CEO,Japan,APAC,Contacted,2010-01-18
L10022,Էդգար Ալաբերկյան,SummitCove Technologies,FinServ,114.0,Referral,CEO,Armenia,EMEA,Lost,2010-01-18
L10023,William Jennings,Apexcove Partners,Retail,117.0,LinkedIn,Marketing Manager,United Kingdom,Europe,Lost,2010-01-19
L10024,"Krieviņš, Andrešs",OrbitWave Innovations,Healthcare,259.0,Website,VP Sales,Latvia,Europe,New,2010-01-19
L10025,Hr Allan Svendsen,Pioneerforge Group,Retail,78.0,Trade Show,Operations Director,Denmark,Europe,New,2010-01-20
L10026,Francisco Javier Chávez,CobaltTrail Innovations,Education,62.0,Trade Show,Marketing Manager,Mexico,LATAM,New,2010-01-20
L10027,김수민,Apexlink Labs,Healthcare,227.0,Webinar,VP Sales,South Korea,APAC,Converted,2010-01-21
L10028,Allison Hill,Nexshift Labs,Manufacturing,47.0,Referral,Operations Director,Albania,Europe,Contacted,2010-01-22
L10029,Noah Rhodes,Bluelogic Solutions,SaaS,23.0,Referral,CEO,United States,North America,Converted,2010-01-23
L10030,אביטל דהן,Pioneerlogic Labs,Manufacturing,105.0,Website,IT Manager,Israel,EMEA,Lost,2010-01-24
L10031,Mr. Adrian Opuku,Pioneertrail Dynamics,Manufacturing,181.0,Trade Show,VP Sales,Ghana,EMEA,New,2010-01-25
L10032,Benjamin Perez Diaz,Crestlink Innovations,SaaS,261.0,Website,IT Manager,Argentina,LATAM,Unqualified,2010-01-26
L10033,André Vicente,Silvertrail Solutions,Manufacturing,32.0,Webinar,Marketing Manager,Portugal,Europe,Unqualified,2010-01-26
L10034,Həsən Məhərrəmli,Crestcore Industries,Healthcare,62.0,Referral,Marketing Manager,Azerbaijan,EMEA,Unqualified,2010-01-27
L10035,Margarita Daniela Mansilla Concha,CobaltWave Technologies,Education,14.0,Website,Operations Director,Chile,LATAM,Lost,2010-01-27
L10036,Antonia del Antón,ZenithCore Dynamics,Healthcare,336.0,Website,Procurement Lead,Spain,Europe,Lost,2010-01-28
L10037,Рябов Игорь Юльевич,PrimeGate Technologies,Healthcare,370.0,Referral,CEO,Kazakhstan,APAC,Converted,2010-01-29
L10038,王丹,Cobaltgrid Innovations,Healthcare,30.0,LinkedIn,Marketing Manager,China,APAC,Unqualified,2010-01-30
L10039,陳雅惠,Blueshift Innovations,FinServ,25.0,Referral,VP Sales,Taiwan,APAC,Converted,2010-01-31
L10040,Noah Rhodes,Lumenlink Labs,Logistics,82.0,Webinar,Operations Director,Singapore,APAC,Contacted,2010-02-01
L10041,Alexandre Traore,OrbitBeam Group,SaaS,138.0,Referral,Operations Director,France,Europe,Converted,2010-02-01
