opportunity_id,lead_id,deal_value,stage,owner,open_date,expected_close_date,actual_close_date
O20001,L10002,29423,Closed-Lost,Morgan Kelly,2010-01-21,2010-03-05,2010-03-17
O20002,L10003,9873,Closed-Lost,Sara Black,2010-01-15,2010-04-05,2010-04-19
O20003,L10004,78944,Closed-Won,Christopher Wilson,2010-01-24,2010-03-13,2010-03-30
O20004,L10005,3458,Closed-Lost,Frank Hall,2010-01-09,2010-03-06,2010-03-25
O20005,L10006,16695,Closed-Lost,Anthony Farmer,2010-01-21,2010-04-05,2010-04-07
O20006,L10007,18539,Closed-Won,Jerry Taylor,2010-01-20,2010-04-10,2010-04-29
O20007,L10014,24517,Closed-Won,Ronnie Coleman,2010-01-31,2010-02-27,2010-03-16
O20008,L10017,8790,Closed-Lost,Stephanie Carlson,2010-01-21,2010-03-18,2010-04-08
O20009,L10019,68337,Closed-Lost,Jacob Rose,2010-02-05,2010-03-01,2010-03-12
O20010,L10020,1755,Closed-Lost,Jeffrey Odom,2010-01-24,2010-03-20,2010-04-06
O20011,L10022,15604,Closed-Lost,Amy Henson,2010-01-20,2010-03-13,2010-03-21
O20012,L10023,34160,Closed-Lost,Hunter Petty,2010-01-29,2010-03-12,2010-03-13
O20013,L10027,52466,Closed-Won,Kristina Ruiz,2010-01-31,2010-03-13,2010-03-31
O20014,L10030,20032,Closed-Lost,Tammy Walker,2010-02-01,2010-02-28,2010-03-23
O20015,L10035,2543,Closed-Lost,Nancy Hayes,2010-01-31,2010-04-17,2010-04-13
O20016,L10036,41118,Closed-Lost,Michael Lara,2010-01-30,2010-03-13,2010-03-28
O20017,L10037,96988,Closed-Won,Matthew White,2010-02-09,2010-03-07,2010-03-20
O20018,L10041,14714,Closed-Won,Robert Alexander,2010-02-21,2010-03-14,2010-03-10
O20019,L10043,1337284,Closed-Lost,Alexandra Lopez,2010-02-06,2010-03-28,2010-03-30
O20020,L10044,2955,Closed-Lost,Shane Jones,2010-02-15,2010-03-23,2010-03-22
O20021,L10046,41737,Closed-Lost,Cassidy Thompson,2010-02-22,2010-04-18,2010-04-28
O20022,L10048,25089,Closed-Won,Patricia Rodriguez DDS,2010-02-21,2010-03-22,2010-04-02
O20023,L10049,8804,Closed-Lost,Thomas Miller,2010-02-11,2010-04-02,2010-04-20
O20024,L10051,27305,Closed-Lost,Kelly Watts,2010-02-10,2010-03-26,2010-03-22
O20025,L10052,92058,Closed-Lost,Brian Williams,2010-02-18,2010-05-09,2010-05-19
O20026,L10054,44963,Closed-Lost,Stacy Lewis,2010-03-02,2010-05-17,2010-05-19
O20027,L10055,109823,Closed-Lost,Teresa Collier,2010-02-18,2010-04-16,2010-04-12
O20028,L10056,29791,Closed-Lost,Marco Jensen,2010-02-15,2010-04-18,2010-05-18
O20029,L10058,4187,Closed-Won,Charles Smith,2010-02-20,2010-04-26,2010-05-07
O20030,L10060,20629,Closed-Lost,Stephanie Barrera,2010-03-05,2010-04-25,2010-04-30
O20031,L10061,3314,Closed-Lost,Aaron Chang,2010-02-21,2010-03-31,2010-04-13
O20032,L10065,7115,Closed-Lost,Laura Clark,2010-02-26,2010-03-31,2010-04-25
O20033,L10067,2096,Closed-Lost,Mr. Gregory Harvey,2010-03-11,2010-04-17,2010-05-17
O20034,L10068,4997,Closed-Lost,Tammie Carter,2010-02-20,2010-05-01,2010-05-04
O20035,L10070,8052,Closed-Lost,Rhonda Brown,2010-03-09,2010-05-09,2010-05-04
O20036,L10073,38799,Closed-Lost,Robyn Campbell,2010-03-01,2010-05-04,2010-04-30
O20037,L10074,20283,Closed-Lost,Michael Beasley,2010-03-14,2010-05-17,2010-06-13
O20038,L10078,2141,Closed-Lost,Kathryn Bond,2010-03-08,2010-05-23,2010-05-27
O20039,L10079,6000,Closed-Lost,Ashley Pham,2010-03-16,2010-05-18,2010-06-05
O20040,L10080,8374,Closed-Lost,Timothy Bell,2010-03-08,2010-06-03,2010-07-03
O20041,L10081,174127,Closed-Lost,Ashlee Joseph,2010-03-04,2010-04-17,2010-04-17
O20042,L10083,56759,Closed-Lost,John Anderson,2010-03-09,2010-04-15,2010-05-11
O20043,L10085,6197,Closed-Lost,Chase Daniels,2010-03-06,2010-06-02,2010-06-30
O20044,L10086,127420,Closed-Lost,Gary Hoover,2010-03-13,2010-05-02,2010-05-11
O20045,L10087,9566,Closed-Lost,Benjamin Palmer,2010-03-24,2010-04-21,2010-04-19
O20046,L10088,15090,Closed-Won,Nicholas Hampton,2010-03-09,2010-04-08,2010-04-02
O20047,L10089,17077,Closed-Lost,James Graham,2010-03-22,2010-05-31,2010-06-03
O20048,L10090,18812,Closed-Lost,Kathy Taylor,2010-03-13,2010-05-03,2010-05-28
O20049,L10091,17916,Closed-Lost,Andrew Stevens,2010-03-20,2010-05-17,2010-06-14
O20050,L10092,35170,Closed-Won,Robert Bolton,2010-03-19,2010-04-08,2010-04-21
O20051,L10093,15846,Closed-Lost,Harry Palmer,2010-03-29,2010-06-01,2010-06-11
O20052,L10094,20371,Closed-Lost,Dustin Jones,2010-03-15,2010-04-30,2010-05-25
O20053,L10095,30690,Closed-Lost,Donald Taylor,2010-03-27,2010-06-04,2010-06-29
O20054,L10097,25931,Closed-Lost,Andrea Wiley,2010-03-29,2010-05-18,2010-05-20
O20055,L10098,13472,Closed-Lost,Lauren Holder,2010-03-24,2010-05-28,2010-06-05
O20056,L10099,1972,Closed-Lost,Antonio Morse,2010-04-01,2010-06-19,2010-07-02
O20057,L10100,17192,Closed-Lost,Victoria Allen,2010-03-29,2010-06-15,2010-07-01
O20058,L10101,27132,Closed-Won,Christie Medina,2010-03-30,2010-05-26,2010-06-02
O20059,L10102,33199,Closed-Won,Laura Davis,2010-03-23,2010-04-21,2010-05-08
O20060,L10103,21119,Closed-Won,George Manning,2010-04-02,2010-06-30,2010-06-29
O20061,L10104,4430,Closed-Lost,Melissa Duncan,2010-03-30,2010-05-14,2010-05-25
O20062,L10105,4404,Closed-Lost,Karen Baker,2010-04-05,2010-06-02,2010-06-22
O20063,L10107,80209,Closed-Won,John Little,2010-04-10,2010-05-18,2010-05-08
O20064,L10108,9180,Closed-Lost,Gregory Richmond,2010-03-31,2010-05-29,2010-06-19
O20065,L10109,31008,Closed-Won,Rachel Wolf,2010-03-23,2010-06-09,2010-06-27
O20066,L10110,49871,Closed-Won,Kyle Jones,2010-04-10,2010-06-06,2010-06-08
O20067,L10111,13083,Closed-Won,Troy Cunningham,2010-03-25,2010-06-19,2010-06-29
O20068,L10112,2783,Closed-Lost,Hunter Beard,2010-04-05,2010-06-25,2010-07-19
O20069,L10113,21182,Closed-Lost,Elizabeth Miller,2010-03-27,2010-05-04,2010-05-15
O20070,L10114,32211,Closed-Lost,Craig Parker,2010-03-31,2010-05-20,2010-06-19
O20071,L10115,99982,Closed-Lost,Jessica Nguyen,2010-04-04,2010-05-13,2010-05-22
O20072,L10116,16581,Closed-Lost,Scott Roberts,2010-04-16,2010-05-16,2010-06-07
O20073,L10120,19818,Closed-Lost,Victoria Sanchez,2010-04-19,2010-07-01,2010-07-15
O20074,L10122,30988,Closed-Lost,Paul Le,2010-04-18,2010-06-09,2010-07-01
O20075,L10124,1480,Closed-Lost,Chelsea Butler,2010-04-11,2010-05-20,2010-05-27
O20076,L10125,7040,Closed-Lost,Sylvia Gutierrez,2010-04-13,2010-07-07,2010-07-09
O20077,L10126,9474,Closed-Lost,Aaron Little,2010-04-13,2010-05-07,2010-05-23
O20078,L10127,18823,Closed-Lost,David Moore,2010-04-08,2010-05-22,2010-06-05
O20079,L10128,20924,Closed-Won,Brandi Williams,2010-04-16,2010-06-02,2010-06-05
O20080,L10129,16989,Closed-Lost,Arthur Wu,2010-04-06,2010-06-30,2010-07-02
O20081,L10130,4237,Closed-Lost,Sue Stanley,2010-04-09,2010-06-14,2010-06-22
O20082,L10131,74681,Closed-Lost,Tammy Garrett,2010-04-08,2010-06-09,2010-07-09
O20083,L10132,33988,Closed-Lost,Ryan Peterson,2010-04-07,2010-06-28,2010-07-04
O20084,L10133,894,Closed-Lost,Jonathan Barr,2010-04-11,2010-06-07,2010-06-09
O20085,L10134,3729,Closed-Lost,Luis Reid,2010-04-15,2010-05-12,2010-05-12
O20086,L10135,35994,Closed-Lost,Eugene Bass,2010-04-11,2010-06-27,2010-07-06
O20087,L10136,20002,Closed-Lost,Gail Cruz,2010-04-18,2010-05-18,2010-05-29
O20088,L10137,45907,Closed-Won,Charles Rodriguez,2010-04-13,2010-05-14,2010-06-01
O20089,L10138,1995385,Closed-Lost,Ashley Rios,2010-04-25,2010-07-14,2010-08-12
O20090,L10141,4868,Closed-Lost,Autumn Anderson,2010-04-18,2010-07-01,2010-07-21
O20091,L10144,9802,Closed-Lost,Kelly Gallagher,2010-04-20,2010-06-13,2010-07-03
O20092,L10145,31606,Closed-Lost,Daniel Pierce,2010-05-02,2010-06-28,2010-07-02
O20093,L10147,4854,Closed-Lost,Nicole Santana,2010-04-26,2010-07-06,2010-07-24
O20094,L10148,11128,Closed-Lost,Erin Mcknight,2010-04-28,2010-07-09,2010-07-29
O20095,L10149,10938,Closed-Lost,Andres Johnson,2010-04-29,2010-05-29,2010-05-29
O20096,L10151,14154,Closed-Lost,Steve Edwards,2010-04-28,2010-07-14,2010-08-04
O20097,L10152,11910,Closed-Lost,William Stein,2010-04-22,2010-05-31,2010-06-26
O20098,L10153,87788,Closed-Lost,Juan Walters,2010-05-04,2010-06-03,2010-06-25
O20099,L10156,11169,Closed-Lost,Deborah Mitchell,2010-04-29,2010-06-11,2010-06-07
O20100,L10157,3862,Closed-Lost,Justin Gonzalez,2010-05-04,2010-05-26,2010-06-22
O20101,L10158,2109,Closed-Lost,Jon Johns,2010-04-25,2010-06-09,2010-06-12
O20102,L10163,1353,Closed-Lost,Whitney Thompson,2010-04-28,2010-06-01,2010-06-20
O20103,L10164,36121,Closed-Lost,Robert Gregory,2010-05-03,2010-06-27,2010-07-11
O20104,L10168,6636,Closed-Lost,Megan Meyer,2010-05-15,2010-06-08,2010-07-05
O20105,L10169,15889,Closed-Lost,Heather Winters,2010-05-10,2010-06-14,2010-06-30
O20106,L10170,43042,Closed-Lost,Bradley Sanford,2010-05-12,2010-06-01,2010-06-10
O20107,L10171,21259,Closed-Won,Ricky Oliver,2010-05-12,2010-08-07,2010-08-22
O20108,L10173,2278,Closed-Lost,Keith Jenkins,2010-05-14,2010-07-03,2010-07-31
O20109,L10174,3527,Closed-Lost,Lindsay Clark,2010-05-19,2010-06-10,2010-07-03
O20110,L10175,2813,Closed-Lost,Sheryl Washington,2010-05-12,2010-07-01,2010-07-20
O20111,L10176,22803,Closed-Lost,Pamela Ray,2010-05-21,2010-06-26,2010-07-08
O20112,L10177,82374,Closed-Lost,Johnny Greene,2010-05-25,2010-07-21,2010-08-17
O20113,L10178,22838,Closed-Won,Brooke Gray,2010-05-26,2010-07-14,2010-07-06
O20114,L10179,15948,Closed-Lost,Victoria Jones,2010-05-27,2010-08-08,2010-08-18
O20115,L10180,28235,Closed-Won,Gary Alvarez,2010-05-23,2010-07-20,2010-07-31
